"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 03, 2009","133.78","129.46","134.44","129.36","145.15M","0.99%"
"Mar 02, 2009","132.47","135.42","135.42","131.28","118.85M","-4.06%"
"Feb 27, 2009","138.07","137.20","140.22","135.95","132.79M","0.80%"
"Feb 26, 2009","136.98","140.01","143.18","134.44","173.66M","-1.20%"
"Feb 25, 2009","138.65","142.02","142.14","137.69","148.89M","0.60%"
"Feb 24, 2009","137.82","137.66","138.97","136.79","122.70M","-3.47%"
"Feb 23, 2009","142.78","137.33","142.79","136.25","153.24M","3.23%"
"Feb 20, 2009","138.31","142.01","143.09","137.07","163.93M","-3.68%"
"Feb 19, 2009","143.60","143.57","145.53","141.54","179.55M","-0.42%"
"Feb 18, 2009","144.21","144.49","145.53","142.47","163.43M","-1.63%"
"Feb 17, 2009","146.60","151.46","151.46","145.78","178.83M","-3.97%"
"Feb 16, 2009","152.66","153.85","156.14","152.57","157.37M","-1.63%"
"Feb 13, 2009","155.19","153.44","155.24","151.35","155.11M","1.00%"
"Feb 12, 2009","153.66","154.12","154.56","151.04","170.86M","-1.03%"
"Feb 11, 2009","155.26","152.61","155.78","151.79","145.73M","-1.01%"
"Feb 10, 2009","156.84","159.29","160.02","155.25","147.64M","-0.55%"
"Feb 09, 2009","157.70","160.77","161.32","157.29","170.42M","-0.76%"
"Feb 06, 2009","158.90","156.99","158.92","156.28","200.24M","3.18%"
"Feb 05, 2009","154.00","154.76","157.99","154.00","194.00M","-1.28%"
"Feb 04, 2009","155.99","154.20","156.00","153.18","199.63M","3.02%"
"Feb 03, 2009","151.42","149.71","153.17","147.75","147.01M","1.62%"
"Feb 02, 2009","149.00","148.86","152.39","147.55","164.74M","-1.54%"
"Jan 30, 2009","151.33","149.55","151.74","149.12","167.42M","-0.63%"
"Jan 29, 2009","152.29","152.03","154.04","151.47","178.12M","0.83%"
"Jan 28, 2009","151.04","146.05","151.41","145.84","169.90M","6.55%"
"Jan 23, 2009","141.75","143.48","143.48","141.04","118.53M","-2.32%"
"Jan 22, 2009","145.11","146.29","146.60","143.57","157.60M","1.27%"
"Jan 21, 2009","143.29","141.28","145.30","141.05","148.36M","-2.22%"
"Jan 20, 2009","146.55","147.78","147.86","144.95","151.38M","-2.31%"
"Jan 19, 2009","150.02","149.42","151.23","148.74","166.99M","1.34%"
"Jan 16, 2009","148.03","146.08","148.11","144.44","134.78M","2.05%"
"Jan 15, 2009","145.05","148.44","149.39","144.64","156.12M","-6.12%"
"Jan 14, 2009","154.50","151.45","154.80","150.15","144.18M","1.34%"
"Jan 13, 2009","152.45","149.70","152.67","147.77","136.76M","0.95%"
"Jan 12, 2009","151.01","152.76","153.68","150.04","129.40M","-2.05%"
"Jan 09, 2009","154.17","158.80","159.63","153.93","179.40M","-2.28%"
"Jan 08, 2009","157.76","159.21","159.76","156.39","221.89M","-2.23%"
"Jan 07, 2009","161.36","157.11","161.53","156.70","269.99M","2.91%"
"Jan 06, 2009","156.79","155.16","158.17","154.89","197.22M","1.92%"
"Jan 05, 2009","153.83","154.57","155.13","152.63","196.24M","1.77%"
"Jan 02, 2009","151.15","147.51","151.15","145.59","136.64M","3.28%"
"Dec 30, 2008","146.35","146.71","149.50","146.25","101.35M","0.43%"
