"Date","Price","Open","High","Low","Vol.","Change %"
"May 07, 2018","7,908.33","7,850.04","7,941.61","7,850.04","-","0.74%"
"May 04, 2018","7,850.04","7,811.43","7,883.21","7,807.39","-","0.49%"
"May 03, 2018","7,811.43","7,911.20","7,911.20","7,804.64","-","-1.26%"
"May 02, 2018","7,911.20","7,956.34","7,982.27","7,897.96","-","-0.57%"
"Apr 30, 2018","7,956.34","7,878.78","7,966.83","7,859.04","-","0.98%"
"Apr 27, 2018","7,878.78","7,832.38","7,902.14","7,830.76","-","0.59%"
"Apr 26, 2018","7,832.38","7,862.42","7,907.52","7,815.67","-","-0.38%"
"Apr 25, 2018","7,862.42","7,894.98","7,894.98","7,823.48","-","-0.41%"
"Apr 24, 2018","7,894.98","7,948.86","7,948.86","7,862.33","-","-0.68%"
"Apr 23, 2018","7,948.86","8,014.07","8,014.07","7,939.16","-","-0.81%"
"Apr 20, 2018","8,014.07","8,240.78","8,240.78","8,006.32","-","-2.75%"
"Apr 19, 2018","8,240.78","8,125.35","8,246.58","8,125.35","-","1.42%"
"Apr 18, 2018","8,125.35","8,097.73","8,184.76","8,091.02","-","0.34%"
"Apr 17, 2018","8,097.73","8,220.67","8,220.67","8,085.01","-","-1.50%"
"Apr 16, 2018","8,220.67","8,223.16","8,225.23","8,178.45","-","-0.03%"
"Apr 13, 2018","8,223.16","8,220.61","8,244.97","8,200.70","-","0.03%"
"Apr 12, 2018","8,220.61","8,255.72","8,280.48","8,189.07","-","-0.43%"
"Apr 11, 2018","8,255.72","8,217.05","8,290.22","8,217.05","-","0.47%"
"Apr 10, 2018","8,217.05","8,179.57","8,256.42","8,149.81","-","0.46%"
"Apr 09, 2018","8,179.57","8,124.79","8,203.23","8,124.79","-","0.67%"
"Apr 03, 2018","8,124.79","8,192.92","8,192.92","8,084.88","-","-0.83%"
"Apr 02, 2018","8,192.92","8,226.75","8,263.31","8,180.90","-","-0.36%"
"Mar 30, 2018","8,222.81","8,163.33","8,278.55","8,163.33","-","0.73%"
"Mar 29, 2018","8,163.33","8,198.43","8,216.72","8,140.16","-","-0.43%"
"Mar 28, 2018","8,198.43","8,315.53","8,315.53","8,181.82","-","-1.41%"
"Mar 27, 2018","8,315.53","8,188.79","8,315.96","8,188.79","-","1.55%"
"Mar 26, 2018","8,188.79","8,185.46","8,188.88","8,132.61","-","0.04%"
"Mar 23, 2018","8,185.46","8,346.79","8,346.79","8,153.96","-","-1.93%"
"Mar 22, 2018","8,346.79","8,359.51","8,427.11","8,310.36","-","-0.15%"
"Mar 21, 2018","8,359.51","8,356.25","8,401.60","8,345.19","-","0.04%"
"Mar 20, 2018","8,356.25","8,393.53","8,393.53","8,325.67","-","-0.44%"
"Mar 19, 2018","8,393.53","8,373.57","8,403.96","8,317.45","-","0.24%"
"Mar 16, 2018","8,373.57","8,361.22","8,404.48","8,268.04","-","0.15%"
"Mar 15, 2018","8,361.22","8,400.01","8,405.40","8,361.13","-","-0.46%"
"Mar 14, 2018","8,400.01","8,461.46","8,461.46","8,380.71","-","-0.73%"
"Mar 13, 2018","8,461.46","8,379.60","8,461.46","8,379.60","-","0.98%"
"Mar 12, 2018","8,379.60","8,255.88","8,392.08","8,255.88","-","1.50%"
"Mar 09, 2018","8,255.88","8,216.87","8,266.47","8,216.87","-","0.47%"
"Mar 08, 2018","8,216.87","8,153.08","8,246.28","8,153.08","-","0.78%"
"Mar 07, 2018","8,153.08","8,197.16","8,208.92","8,145.78","-","-0.54%"
"Mar 06, 2018","8,197.16","8,051.07","8,197.24","8,051.07","-","1.81%"
"Mar 05, 2018","8,051.07","8,074.35","8,119.29","8,043.35","-","-0.29%"
"Mar 02, 2018","8,074.35","8,141.67","8,141.67","8,023.00","-","-0.83%"
"Mar 01, 2018","8,141.67","8,187.76","8,187.76","8,094.20","-","-0.56%"
"Feb 27, 2018","8,187.76","8,207.53","8,298.40","8,187.76","-","-0.24%"
"Feb 26, 2018","8,207.53","8,188.81","8,260.80","8,188.81","-","0.23%"
"Feb 23, 2018","8,188.81","8,070.27","8,188.81","8,070.27","-","1.47%"
"Feb 22, 2018","8,070.27","8,141.33","8,141.33","8,049.85","-","-0.87%"
"Feb 21, 2018","8,141.33","7,929.26","8,156.81","7,929.26","-","2.67%"
"Feb 12, 2018","7,929.26","7,865.48","7,968.44","7,865.48","-","0.81%"
"Feb 09, 2018","7,865.48","8,008.04","8,008.04","7,754.73","-","-1.78%"
"Feb 08, 2018","8,008.04","8,021.27","8,070.25","7,998.56","-","-0.16%"
"Feb 07, 2018","8,021.27","7,927.84","8,128.04","7,927.84","-","1.18%"
"Feb 06, 2018","7,927.84","8,324.27","8,324.27","7,838.47","-","-4.76%"
"Feb 05, 2018","8,324.27","8,480.65","8,480.65","8,267.15","-","-1.84%"
"Feb 02, 2018","8,480.65","8,490.07","8,493.46","8,404.43","-","-0.11%"
"Feb 01, 2018","8,490.07","8,420.43","8,530.78","8,420.43","-","0.83%"
"Jan 31, 2018","8,420.43","8,396.98","8,471.34","8,355.34","-","0.28%"
"Jan 30, 2018","8,396.98","8,527.11","8,527.11","8,396.01","-","-1.53%"
"Jan 29, 2018","8,527.11","8,458.96","8,559.32","8,458.96","-","0.81%"
"Jan 26, 2018","8,458.96","8,487.00","8,498.44","8,406.62","-","-0.33%"
"Jan 25, 2018","8,487.00","8,460.85","8,579.69","8,441.19","-","0.31%"
"Jan 24, 2018","8,460.85","8,598.64","8,598.64","8,424.44","-","-1.60%"
"Jan 23, 2018","8,598.64","8,559.10","8,598.64","8,537.04","-","0.46%"
"Jan 22, 2018","8,559.10","8,481.64","8,559.10","8,481.64","-","0.91%"
"Jan 19, 2018","8,481.64","8,373.67","8,481.64","8,373.67","-","1.29%"
"Jan 18, 2018","8,373.67","8,282.14","8,413.97","8,282.14","-","1.11%"
"Jan 17, 2018","8,282.14","8,264.20","8,296.64","8,219.44","-","0.22%"
"Jan 16, 2018","8,264.20","8,246.26","8,264.20","8,202.73","-","0.22%"
"Jan 15, 2018","8,246.26","8,164.68","8,246.26","8,164.68","-","1.00%"
"Jan 12, 2018","8,164.68","8,099.62","8,181.39","8,099.62","-","0.80%"
"Jan 11, 2018","8,099.62","8,127.25","8,127.25","8,057.08","-","-0.34%"
"Jan 10, 2018","8,127.25","8,199.95","8,209.44","8,113.99","-","-0.89%"
"Jan 09, 2018","8,199.95","8,193.17","8,199.95","8,150.52","-","0.08%"
"Jan 08, 2018","8,193.17","8,148.79","8,193.17","8,137.02","-","0.54%"
"Jan 05, 2018","8,148.79","8,131.55","8,148.79","8,091.84","-","0.21%"
"Jan 04, 2018","8,131.55","8,107.28","8,147.27","8,085.93","-","0.30%"
"Jan 03, 2018","8,107.28","8,032.98","8,123.32","8,032.98","-","0.92%"
"Jan 02, 2018","8,032.98","7,981.41","8,032.98","7,981.41","-","0.65%"
"Dec 29, 2017","7,981.41","7,906.18","7,989.35","7,906.18","-","0.95%"
"Dec 28, 2017","7,906.18","7,847.75","7,937.59","7,847.75","-","0.74%"
"Dec 27, 2017","7,847.75","7,822.08","7,862.83","7,814.78","-","0.33%"
"Dec 26, 2017","7,822.08","7,890.04","7,890.04","7,803.63","-","-0.85%"
"Dec 25, 2017","7,889.52","7,900.18","7,917.80","7,878.63","-","-0.13%"
"Dec 22, 2017","7,900.18","7,841.26","7,900.21","7,833.71","-","0.75%"
"Dec 21, 2017","7,841.26","7,854.38","7,891.05","7,841.16","-","-0.17%"
"Dec 20, 2017","7,854.38","7,836.23","7,865.20","7,831.22","-","0.23%"
"Dec 19, 2017","7,836.23","7,880.62","7,900.86","7,821.14","-","-0.56%"
"Dec 18, 2017","7,880.62","7,892.49","7,900.16","7,848.67","-","-0.15%"
"Dec 15, 2017","7,892.49","7,936.10","7,936.10","7,827.66","-","-0.55%"
"Dec 14, 2017","7,936.10","7,866.61","7,955.52","7,866.61","-","0.88%"
"Dec 13, 2017","7,866.61","7,865.81","7,887.53","7,851.42","-","0.01%"
"Dec 12, 2017","7,865.81","7,884.37","7,910.24","7,820.80","-","-0.24%"
"Dec 11, 2017","7,884.37","7,843.14","7,918.70","7,843.14","-","0.53%"
"Dec 08, 2017","7,843.14","7,820.13","7,881.71","7,806.34","-","0.29%"
"Dec 07, 2017","7,820.13","7,843.85","7,852.18","7,777.71","-","-0.30%"
"Dec 06, 2017","7,843.85","7,983.35","7,983.35","7,829.47","-","-1.75%"
"Dec 05, 2017","7,983.35","8,057.26","8,057.26","7,963.10","-","-0.92%"
"Dec 04, 2017","8,057.26","8,007.57","8,066.40","7,982.17","-","0.62%"
"Dec 01, 2017","8,007.57","7,931.58","8,065.17","7,922.43","-","0.96%"
"Nov 30, 2017","7,931.58","8,109.93","8,109.93","7,931.09","-","-2.20%"
"Nov 29, 2017","8,109.93","8,107.57","8,150.46","8,096.73","-","0.03%"
"Nov 28, 2017","8,107.57","8,154.13","8,154.13","8,091.24","-","-0.57%"
"Nov 27, 2017","8,154.13","8,271.53","8,271.53","8,152.91","-","-1.42%"
"Nov 24, 2017","8,271.53","8,276.32","8,293.61","8,248.83","-","-0.06%"
"Nov 23, 2017","8,276.32","8,253.98","8,297.18","8,239.02","-","0.27%"
"Nov 22, 2017","8,253.98","8,218.36","8,306.17","8,218.36","-","0.43%"
"Nov 21, 2017","8,218.36","8,121.38","8,226.45","8,121.38","-","1.19%"
"Nov 20, 2017","8,121.38","8,171.64","8,182.63","8,112.28","-","-0.62%"
"Nov 17, 2017","8,171.64","8,102.26","8,200.44","8,102.26","-","0.86%"
"Nov 16, 2017","8,102.26","8,103.79","8,143.86","8,087.26","-","-0.02%"
"Nov 15, 2017","8,103.79","8,174.94","8,174.94","8,082.31","-","-0.87%"
"Nov 14, 2017","8,174.94","8,167.35","8,208.03","8,156.32","-","0.09%"
"Nov 13, 2017","8,167.35","8,192.93","8,212.59","8,167.01","-","-0.31%"
"Nov 10, 2017","8,192.93","8,221.18","8,221.18","8,144.34","-","-0.34%"
